player_id,Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt p100,On-Off p100,BadPass TO,LostBall TO,Shoot Foul,Off. Foul,Shoot Drawn,Off. Drawn,PGA,And1,Blkd,Awards,Column_25
templga01,452,Jared Rhoden,25,CHO,SG,4,0,12,0,0,100,0,0,32.0,41.5,0,1,0,0,0,0,5,0,0,
rhodeja01,452,Jared Rhoden,25,TOR,SG,10,2,215,4,46,45,5,0,11.6,16.9,7,0,10,0,12,0,36,1,6,
rhodeja01,453,Luka Garza,26,MIN,C,39,0,219,0,0,0,25,75,2.4,-2.8,2,3,18,4,16,5,28,3,8,
rhodeja01,454,Ariel Hukporti,22,NYK,C,25,1,217,0,0,0,8,92,-13.4,-18.6,12,5,24,4,6,0,27,1,2,
garzalu01,455,Alex Reese,25,2TM,PF,15,0,216,0,0,0,47,53,5.1,12.0,5,0,15,1,6,2,9,2,1,
hukpoar01,455,Alex Reese,25,OKC,PF,1,0,2,0,0,0,0,100,100.0,86.9,0,0,0,0,0,0,0,0,0,
reeseal01,455,Alex Reese,25,PHI,PF,14,0,214,0,0,0,47,53,4.3,11.3,5,0,15,1,6,2,9,2,1,
reeseal01,456,Dario Šarić,30,DEN,C,16,4,210,0,0,0,4,96,-11.3,-16.1,10,3,11,1,5,1,57,0,8,
reeseal01,457,Adam Flagler,25,OKC,SG,37,0,203,93,7,0,0,0,3.0,-10.6,2,1,10,1,0,0,33,0,2,
saricda01,458,Chuma Okeke,26,2TM,PF,9,3,196,0,0,2,86,13,-5.5,-1.3,0,2,2,0,1,1,37,0,1,
flaglad01,458,Chuma Okeke,26,PHI,PF,7,3,171,0,0,1,87,12,-8.4,-2.1,0,2,2,0,1,1,31,0,1,
okekech01,458,Chuma Okeke,26,CLE,PF,2,0,25,0,0,8,78,14,14.1,4.4,0,0,0,0,0,0,6,0,0,
okekech01,459,Drew Peterson,25,BOS,PF,25,1,186,0,0,43,54,2,12.7,3.8,5,2,12,0,3,1,31,0,3,
okekech01,460,Markelle Fultz,26,SAC,PG,21,0,184,80,20,0,0,0,1.7,1.2,11,1,3,3,1,0,70,1,2,
peterdr01,461,Lester Quiñones,24,2TM,SG,13,0,183,2,62,36,0,0,-7.4,2.0,11,2,11,0,5,3,54,2,3,
fultzma01,461,Lester Quiñones,24,PHI,SG,4,0,17,14,57,29,0,0,-10.0,-3.6,2,1,0,0,1,0,2,1,0,
quinole01,461,Lester Quiñones,24,NOP,SG,9,0,166,1,63,36,0,0,-7.2,2.6,9,1,11,0,4,3,52,1,3,
quinole01,462,Bronny James,20,LAL,SG,27,1,181,55,41,4,0,0,-19.2,-21.8,8,4,9,0,7,0,49,1,5,
quinole01,463,Enrique Freeman,24,IND,PF,22,1,181,0,3,47,50,0,-6.0,-8.8,5,0,13,1,5,1,22,1,3,
jamesbr02,464,Cole Swider,25,2TM,SF,10,0,169,0,6,39,53,2,10.2,14.5,4,0,8,0,1,2,7,1,4,
freemen01,464,Cole Swider,25,DET,SF,2,0,13,0,0,0,74,26,37.0,35.1,0,0,1,0,0,0,3,0,0,
swideco01,464,Cole Swider,25,TOR,SF,8,0,156,0,6,43,51,0,8.0,12.8,4,0,7,0,1,2,4,1,4,
swideco01,465,Jaylen Nowell,25,NOP,SG,8,0,168,95,6,0,0,0,-12.9,-3.4,6,1,7,0,6,1,41,1,3,
swideco01,466,Markieff Morris,35,2TM,PF,15,2,165,0,0,0,74,26,-9.7,-10.9,2,3,10,0,3,0,51,0,2,
nowelja01,466,Markieff Morris,35,DAL,PF,7,0,41,0,0,0,59,41,-11.1,-10.0,1,1,2,0,0,0,10,0,0,
morrima02,466,Markieff Morris,35,LAL,PF,8,2,124,0,0,0,79,21,-9.2,-11.2,1,2,8,0,3,0,41,0,2,
morrima02,467,Killian Hayes,23,BRK,PG,6,5,162,94,6,0,0,0,-5.1,2.5,7,1,8,0,4,3,75,0,1,
morrima02,468,MarJon Beauchamp,24,3TM,SF,35,0,156,0,4,50,46,0,0.5,-2.2,7,4,7,1,9,1,26,0,5,
hayeski01,468,MarJon Beauchamp,24,MIL,SF,26,0,122,0,6,44,51,0,3.6,1.3,5,4,6,1,6,1,17,0,5,
beaucma01,468,MarJon Beauchamp,24,LAC,SF,3,0,17,0,0,74,26,0,2.3,-2.3,1,0,1,0,2,0,6,0,0,
beaucma01,468,MarJon Beauchamp,24,NYK,SF,6,0,17,0,0,68,32,0,-23.3,-27.6,1,0,0,0,1,0,3,0,0,
beaucma01,469,Lamar Stevens,27,MEM,PF,17,1,155,0,5,41,53,1,26.9,22.8,5,2,4,2,5,1,22,1,8,
beaucma01,470,Tyson Etienne,25,BRK,PG,7,0,151,66,34,0,0,0,-21.2,-14.2,4,3,10,0,3,1,33,0,2,
stevela01,471,Josh Richardson,31,MIA,SG,8,0,150,42,47,11,0,0,-10.5,-11.5,4,1,7,3,2,1,30,0,3,
etienty01,472,Jeenathan Williams,25,HOU,SG,20,0,147,1,76,23,0,0,-6.8,-11.5,8,3,10,1,3,0,24,0,0,
richajo01,473,Bruno Fernando,26,TOR,C,17,2,147,0,0,0,0,100,-7.1,-2.9,6,1,12,3,4,0,40,0,7,
willije02,474,Damion Lee,32,PHO,SG,25,0,144,0,46,50,4,0,2.6,5.6,6,3,3,1,6,0,25,1,3,
fernabr01,475,Oshae Brissett,26,PHI,SF,6,2,142,0,0,30,45,25,-11.5,-5.3,3,5,10,0,7,2,11,2,3,
leeda03,476,Elijah Harkless,24,UTA,SG,10,0,138,3,46,51,0,0,9.9,19.8,1,0,8,1,3,4,22,0,0,
brissos01,477,Pete Nance,24,2TM,C,13,1,138,0,0,0,1,99,-4.9,-2.9,2,0,8,1,0,0,24,0,1,
harklej01,477,Pete Nance,24,PHI,C,7,0,68,0,0,0,0,100,-8.4,-2.0,0,0,4,0,0,0,8,0,1,
nancepe01,477,Pete Nance,24,MIL,PF,6,1,70,0,0,0,3,97,-1.4,-3.8,2,0,4,1,0,0,16,0,0,
nancepe01,478,Vlatko Čančar,27,DEN,PF,13,0,136,0,0,1,68,31,-10.3,-14.8,7,2,5,1,0,1,22,0,2,
nancepe01,479,Kylor Kelley,27,2TM,C,11,2,126,0,0,0,4,96,-31.0,-26.2,2,0,10,2,4,0,11,0,0,
cancavl01,479,Kylor Kelley,27,DAL,C,8,1,67,0,0,0,8,92,-27.6,-26.9,1,0,6,0,2,0,5,0,0,
kelleky01,479,Kylor Kelley,27,NOP,C,3,1,59,0,0,0,0,100,-34.8,-25.5,1,0,4,2,2,0,6,0,0,
kelleky01,480,Alex Ducas,24,OKC,SG,21,0,125,3,55,38,5,0,-6.5,-20.2,2,0,10,1,1,0,14,0,1,
kelleky01,481,Spencer Jones,23,DEN,SF,20,0,125,0,30,64,6,0,-15.8,-20.4,4,0,11,0,1,0,13,1,0,
ducasal01,482,Kobe Bufkin,21,ATL,SG,10,0,124,83,17,0,0,0,-9.5,-8.6,4,2,5,0,9,1,37,2,6,
jonessp01,483,Tyler Smith,20,MIL,PF,23,0,122,0,0,0,44,56,3.2,0.9,3,2,5,1,4,2,9,1,1,
bufkiko01,484,De'Anthony Melton,26,GSW,SG,6,2,121,52,38,10,0,0,14.4,11.3,2,3,6,1,1,1,38,0,1,
smithty02,485,Moses Brown,25,2TM,C,13,2,119,0,0,0,0,100,-3.2,-3.4,5,0,16,1,7,0,5,3,3,
meltode01,485,Moses Brown,25,IND,C,9,0,46,0,0,0,0,100,-7.4,-9.9,3,0,5,1,3,0,0,1,0,
brownmo01,485,Moses Brown,25,DAL,C,4,2,73,0,0,0,0,100,-0.5,0.7,2,0,11,0,4,0,5,2,3,
brownmo01,486,TyTy Washington Jr.,23,PHO,PG,16,0,118,30,64,6,0,0,-2.0,0.8,2,0,3,0,3,0,36,0,0,
brownmo01,487,Trey Alexander,21,DEN,SG,24,0,117,65,35,1,0,0,-13.6,-18.1,1,1,5,2,1,0,29,0,1,
washity02,488,Joe Ingles,37,MIN,SF,19,1,114,0,31,65,4,0,-5.0,-10.4,6,1,4,1,0,0,53,0,1,
alexatr01,489,Sidy Cissoko,20,2TM,SF,22,0,114,0,5,73,22,0,3.8,7.1,6,4,7,0,4,0,38,1,5,
inglejo01,489,Sidy Cissoko,20,SAS,SF,17,0,54,0,0,93,7,0,4.5,7.6,2,0,4,0,2,0,15,0,2,
cissosi01,489,Sidy Cissoko,20,POR,SF,5,0,60,0,9,55,36,0,3.3,6.6,4,4,3,0,2,0,23,1,3,
cissosi01,490,Tony Bradley,27,IND,C,14,0,113,0,0,0,0,100,18.1,16.2,1,2,6,2,2,1,15,0,4,
cissosi01,491,Jaylen Sims,26,CHO,SG,6,0,112,11,52,30,7,0,-20.0,-10.9,5,2,3,1,7,1,30,0,1,
bradlto01,492,Pacome Dadiet,19,NYK,SG,18,0,111,0,20,49,31,0,-10.2,-14.8,2,2,3,0,3,1,11,2,1,
simsja01,493,Patrick Baldwin Jr.,22,2TM,SF,24,0,107,0,0,60,40,0,8.0,19.8,2,3,6,0,1,0,6,0,2,
dadiepa01,493,Patrick Baldwin Jr.,22,WAS,SF,22,0,101,0,0,61,39,0,11.4,24.1,2,3,4,0,1,0,4,0,2,
baldwpa01,493,Patrick Baldwin Jr.,22,LAC,SF,2,0,6,0,0,44,57,0,-48.7,-53.4,0,0,2,0,0,0,2,0,0,
baldwpa01,494,Chris Livingston,21,MIL,SF,21,1,106,0,0,16,57,28,-12.8,-15.5,2,3,3,1,9,0,11,2,5,
baldwpa01,495,Jae Crowder,34,SAC,PF,9,2,103,0,0,78,22,0,-7.6,-8.3,4,0,8,0,2,0,13,0,1,
livinch01,496,Justin Minaya,25,POR,SF,19,0,101,0,24,68,8,0,-6.4,-3.3,1,2,6,2,0,0,15,0,0,
crowdja01,497,Keshad Johnson,23,MIA,SF,16,0,98,0,0,20,74,6,4.5,4.1,2,2,9,0,4,0,9,1,3,
minayju01,498,Yuki Kawamura,23,MEM,PG,22,0,93,100,0,0,0,0,18.0,13.4,3,2,2,0,3,1,46,1,0,
johnske10,499,JD Davison,22,BOS,PG,16,0,93,100,0,0,0,0,-15.5,-25.1,7,6,1,0,3,0,32,0,0,
kawamyu01,500,Luke Travers,23,CLE,SG,12,0,88,0,20,63,17,0,0.7,-9.3,4,4,2,0,1,0,20,0,4,
davisjd01,501,Stanley Umude,25,MIL,SG,22,0,86,0,34,57,10,0,-8.3,-10.8,2,0,3,1,2,0,8,0,1,
