player_id,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P (% of FGA),0-3 (% of FGA),3-10 (% of FGA),10-16 (% of FGA),16-3P (% of FGA),3P (% of FGA),2P (FG%),0-3 (FG%),3-10 (FG%),10-16 (FG%),16-3P (FG%),3P (FG%),2P (% AST'd),3P (% AST'd),Dunks %FGA,Dunks #,%3PA (Corner 3s),3P% (Corner 3s),Half Court Att.,Half Court Md.,Awards,Column_31
bridgmi01,3.0,Anthony Edwards,23.0,MIN,SG,79.0,79.0,2871.0,0.447,16.9,0.497,0.176,0.158,0.084,0.08,0.503,0.501,0.678,0.453,0.341,0.372,0.395,0.384,0.475,0.039,54.0,0.107,0.414,10.0,0.0,"MVP-7,CPOY-3,AS,NBA2"
hartjo01,4.0,Devin Booker,28.0,PHO,SG,75.0,75.0,2795.0,0.461,16.2,0.612,0.109,0.175,0.206,0.123,0.388,0.542,0.69,0.492,0.531,0.5,0.332,0.431,0.716,0.013,14.0,0.123,0.338,0.0,0.0,
edwaran01,5.0,James Harden,35.0,LAC,PG,79.0,79.0,2789.0,0.41,17.3,0.484,0.106,0.232,0.122,0.024,0.516,0.472,0.657,0.422,0.405,0.484,0.352,0.176,0.37,0.003,4.0,0.042,0.429,0.0,0.0,"MVP-10,AS,NBA3"
bookede01,6.0,DeMar DeRozan,35.0,SAC,SF,77.0,77.0,2768.0,0.477,15.3,0.804,0.065,0.171,0.299,0.269,0.196,0.513,0.706,0.549,0.509,0.449,0.328,0.363,0.881,0.006,7.0,0.309,0.38,6.0,0.0,
hardeja01,7.0,Trae Young,26.0,ATL,PG,76.0,76.0,2739.0,0.411,17.3,0.533,0.124,0.219,0.134,0.057,0.467,0.474,0.544,0.468,0.467,0.359,0.34,0.287,0.294,0.001,0.0,0.078,0.44,6.0,1.0,"CPOY-4,AS"
derozde01,8.0,Tyler Herro,25.0,MIA,SG,77.0,77.0,2725.0,0.472,16.7,0.514,0.137,0.213,0.126,0.038,0.486,0.565,0.698,0.515,0.529,0.481,0.375,0.378,0.753,0.008,10.0,0.118,0.456,2.0,0.0,AS
youngtr01,9.0,OG Anunoby,27.0,NYK,PF,74.0,74.0,2706.0,0.476,13.5,0.552,0.338,0.123,0.055,0.037,0.448,0.561,0.706,0.349,0.321,0.289,0.372,0.717,0.93,0.14,132.0,0.45,0.377,1.0,0.0,
herroty01,10.0,Jalen Green,22.0,HOU,SG,82.0,82.0,2697.0,0.423,16.3,0.54,0.191,0.175,0.058,0.116,0.46,0.482,0.664,0.418,0.298,0.371,0.354,0.262,0.538,0.046,54.0,0.107,0.366,0.0,0.0,
anunoog01,11.0,Christian Braun,23.0,DEN,SG,79.0,77.0,2675.0,0.58,9.9,0.727,0.418,0.245,0.027,0.038,0.273,0.648,0.758,0.522,0.409,0.419,0.397,0.762,0.888,0.124,94.0,0.317,0.352,1.0,0.0,
greenja05,12.0,Bam Adebayo,27.0,MIA,C,78.0,78.0,2674.0,0.485,11.4,0.801,0.213,0.285,0.247,0.057,0.199,0.517,0.705,0.461,0.436,0.444,0.357,0.605,0.886,0.123,125.0,0.29,0.453,0.0,0.0,DPOY-10
braunch01,13.0,Ivica Zubac,27.0,LAC,C,80.0,80.0,2624.0,0.628,4.4,1.0,0.426,0.499,0.072,0.003,0.0,0.628,0.706,0.585,0.485,0.333,,0.703,,0.203,177.0,,,0.0,0.0,"DPOY-6,DEF2"
adebaba01,14.0,Jayson Tatum,26.0,BOS,PF,72.0,72.0,2624.0,0.452,17.1,0.503,0.182,0.149,0.089,0.083,0.497,0.559,0.782,0.479,0.359,0.43,0.343,0.35,0.46,0.059,79.0,0.059,0.419,0.0,0.0,"MVP-4,CPOY-10,AS,NBA1"
