player_id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,Added,Added,Unnamed: 26_level_0
,Rk,Player,Age,Team,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,Awards
randlju01,56.0,Julius Randle,30.0,MIN,PF,69.0,69.0,2226.0,0.485,0.555,0.344,0.542,0.806,0.593,0.357,0.334,104.0,102.0,95.0,100.0,103.0,103.0,147.0,79.0,-1.9,36.1,
thompam01,57.0,Amen Thompson,22.0,HOU,SF,69.0,42.0,2225.0,0.557,0.599,0.275,0.575,0.684,0.602,0.354,0.131,119.0,110.0,76.0,106.0,88.0,104.0,146.0,31.0,44.0,41.6,"DPOY-5,DEF1"
jacksja02,58.0,Jaren Jackson Jr.,25.0,MEM,C,74.0,74.0,2207.0,0.488,0.541,0.375,0.548,0.781,0.591,0.328,0.321,104.0,99.0,104.0,101.0,100.0,103.0,135.0,76.0,12.5,41.4,"DPOY-7,AS,DEF2"
banede01,59.0,Desmond Bane,26.0,MEM,SG,69.0,68.0,2205.0,0.484,0.548,0.392,0.565,0.894,0.6,0.194,0.411,104.0,101.0,109.0,104.0,115.0,104.0,80.0,97.0,44.3,53.5,
reidna01,60.0,Naz Reid,25.0,MIN,C,80.0,17.0,2200.0,0.462,0.544,0.379,0.556,0.776,0.577,0.155,0.501,99.0,100.0,105.0,102.0,100.0,100.0,64.0,119.0,24.5,1.8,6MOY-5
jonesty01,61.0,Tyus Jones,28.0,PHO,PG,81.0,58.0,2174.0,0.448,0.496,0.414,0.57,0.895,0.585,0.083,0.587,96.0,91.0,115.0,105.0,115.0,102.0,34.0,139.0,36.2,13.0,
turnemy01,62.0,Myles Turner,28.0,IND,C,72.0,72.0,2174.0,0.481,0.561,0.396,0.577,0.773,0.612,0.293,0.486,103.0,103.0,110.0,106.0,99.0,106.0,121.0,115.0,55.1,64.7,
mobleev01,63.0,Evan Mobley,23.0,CLE,PF,71.0,71.0,2167.0,0.557,0.621,0.37,0.604,0.725,0.633,0.337,0.254,119.0,114.0,103.0,111.0,93.0,110.0,139.0,60.0,111.0,117.3,"MVP-10,DPOY-1,AS,NBA2,DEF1"
princta02,64.0,Taurean Prince,30.0,MIL,SF,80.0,73.0,2166.0,0.457,0.492,0.439,0.6,0.813,0.613,0.093,0.652,98.0,90.0,122.0,111.0,104.0,106.0,38.0,155.0,58.7,39.3,
castlst01,65.0,Stephon Castle,20.0,SAS,SG,81.0,47.0,2162.0,0.428,0.501,0.285,0.476,0.724,0.522,0.348,0.337,92.0,92.0,79.0,88.0,93.0,91.0,143.0,80.0,-132.1,-123.0,ROY-1
avdijde01,66.0,Deni Avdija,24.0,POR,SF,72.0,54.0,2161.0,0.476,0.552,0.365,0.55,0.78,0.605,0.441,0.405,102.0,101.0,101.0,101.0,100.0,105.0,181.0,96.0,12.3,57.8,
brownja02,67.0,Jaylen Brown,28.0,BOS,SF,63.0,63.0,2158.0,0.463,0.529,0.324,0.515,0.764,0.555,0.288,0.32,99.0,97.0,90.0,95.0,98.0,96.0,119.0,76.0,-62.3,-53.6,AS
hardati02,68.0,Tim Hardaway Jr.,32.0,DET,SG,77.0,77.0,2153.0,0.406,0.484,0.368,0.529,0.855,0.567,0.213,0.672,87.0,89.0,102.0,97.0,110.0,98.0,88.0,160.0,-18.6,-13.1,
mathube01,69.0,Bennedict Mathurin,22.0,IND,SF,72.0,49.0,2149.0,0.458,0.519,0.34,0.516,0.831,0.579,0.389,0.338,98.0,95.0,94.0,95.0,107.0,100.0,160.0,80.0,-46.5,4.7,
dinwisp01,70.0,Spencer Dinwiddie,31.0,DAL,PG,79.0,30.0,2136.0,0.416,0.492,0.334,0.496,0.802,0.553,0.356,0.478,89.0,90.0,93.0,91.0,103.0,96.0,147.0,113.0,-63.7,-37.1,
barnesc01,71.0,Scottie Barnes,23.0,TOR,PF,65.0,65.0,2134.0,0.446,0.508,0.271,0.482,0.755,0.523,0.284,0.263,95.0,93.0,75.0,89.0,97.0,91.0,117.0,63.0,-130.6,-126.1,
chrisma02,72.0,Max Christie,21.0,2TM,SG,78.0,36.0,2127.0,0.427,0.496,0.366,0.525,0.855,0.57,0.258,0.532,91.0,91.0,102.0,97.0,110.0,99.0,106.0,126.0,-21.8,-8.0,
chrisma02,72.0,Max Christie,21.0,LAL,SG,46.0,25.0,1154.0,0.444,0.544,0.368,0.549,0.851,0.598,0.302,0.566,95.0,100.0,102.0,101.0,109.0,104.0,124.0,134.0,3.2,14.0,
