player_id,year,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG_pct,_3P,_3PA,_3P_pct,_2P,_2PA,_2P_pct,eFG_pct,FT,FTA,FT_pct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp_Dbl,6MOY,AS,CPOY,DEF1,DEF2,DPOY,MIP,MVP,NBA1,NBA2,NBA3,ROY
bridgmi01,2024,24.0,Mikal Bridges,27.0,BRK,SF,82.0,82.0,2854.0,564.0,1294.0,0.436,220.0,592.0,0.372,344.0,702.0,0.49,0.521,258.0,317.0,0.814,68.0,304.0,372.0,299.0,81.0,30.0,164.0,116.0,1606.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
willizi01,2024,25.0,Zion Williamson,23.0,NOP,PF,70.0,70.0,2207.0,624.0,1094.0,0.57,6.0,18.0,0.333,618.0,1076.0,0.574,0.573,347.0,494.0,0.702,122.0,284.0,406.0,352.0,77.0,47.0,193.0,159.0,1601.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
sabondo01,2024,26.0,Domantas Sabonis,27.0,SAC,C,82.0,82.0,2928.0,634.0,1068.0,0.594,33.0,87.0,0.379,601.0,981.0,0.613,0.609,292.0,415.0,0.704,294.0,826.0,1120.0,673.0,74.0,48.0,272.0,250.0,1593.0,26.0,0,0,0,0,0,10,0,8,0,0,1,0
kuzmaky01,2024,27.0,Kyle Kuzma,28.0,WAS,PF,70.0,70.0,2281.0,608.0,1313.0,0.463,151.0,450.0,0.336,457.0,863.0,0.53,0.521,186.0,240.0,0.775,62.0,402.0,464.0,296.0,37.0,49.0,192.0,153.0,1553.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
wembavi01,2024,28.0,Victor Wembanyama,20.0,SAS,C,71.0,71.0,2106.0,551.0,1186.0,0.465,128.0,394.0,0.325,423.0,792.0,0.534,0.519,292.0,367.0,0.796,161.0,594.0,755.0,274.0,88.0,254.0,260.0,153.0,1522.0,2.0,0,0,0,1,0,2,0,0,0,0,0,1
whiteco01,2024,29.0,Coby White,23.0,CHI,PG,79.0,78.0,2881.0,541.0,1209.0,0.447,209.0,556.0,0.376,332.0,653.0,0.508,0.534,218.0,260.0,0.838,44.0,314.0,358.0,405.0,53.0,18.0,166.0,186.0,1509.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
irvinky01,2024,30.0,Kyrie Irving,31.0,DAL,SG,58.0,58.0,2030.0,562.0,1131.0,0.497,173.0,421.0,0.411,389.0,710.0,0.548,0.573,190.0,210.0,0.905,44.0,246.0,290.0,299.0,74.0,28.0,106.0,112.0,1487.0,0.0,0,0,7,0,0,0,0,0,0,0,0,0
jacksja02,2024,31.0,Jaren Jackson Jr.,24.0,MEM,C,66.0,66.0,2124.0,516.0,1162.0,0.444,117.0,366.0,0.32,399.0,796.0,0.501,0.494,337.0,417.0,0.808,85.0,280.0,365.0,154.0,80.0,106.0,160.0,235.0,1486.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
thomaca02,2024,32.0,Cam Thomas,22.0,BRK,SG,66.0,51.0,2075.0,526.0,1190.0,0.442,144.0,396.0,0.364,382.0,794.0,0.481,0.503,286.0,334.0,0.856,28.0,186.0,214.0,192.0,45.0,16.0,124.0,138.0,1482.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
mitchdo01,2024,33.0,Donovan Mitchell,27.0,CLE,SG,55.0,55.0,1942.0,503.0,1089.0,0.462,182.0,494.0,0.368,321.0,595.0,0.539,0.545,275.0,318.0,0.865,46.0,234.0,280.0,333.0,101.0,30.0,154.0,118.0,1463.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0
sextoco01,2024,34.0,Collin Sexton,25.0,UTA,SG,78.0,51.0,2075.0,506.0,1038.0,0.487,128.0,325.0,0.394,378.0,713.0,0.53,0.549,318.0,370.0,0.859,71.0,134.0,205.0,383.0,62.0,18.0,165.0,154.0,1458.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
bridgmi02,2024,35.0,Miles Bridges,25.0,CHO,SF,69.0,67.0,2581.0,559.0,1210.0,0.462,157.0,450.0,0.349,402.0,760.0,0.529,0.527,174.0,211.0,0.825,71.0,434.0,505.0,231.0,65.0,33.0,138.0,118.0,1449.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
wagnefr01,2024,36.0,Franz Wagner,22.0,ORL,SF,72.0,72.0,2337.0,528.0,1096.0,0.482,94.0,334.0,0.281,434.0,762.0,0.57,0.525,271.0,319.0,0.85,72.0,309.0,381.0,269.0,76.0,28.0,137.0,168.0,1421.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
cunnica01,2024,37.0,Cade Cunningham,22.0,DET,PG,62.0,62.0,2074.0,524.0,1167.0,0.449,119.0,335.0,0.355,405.0,832.0,0.487,0.5,238.0,274.0,0.869,33.0,235.0,268.0,464.0,56.0,22.0,212.0,153.0,1405.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
halibty01,2024,38.0,Tyrese Haliburton,23.0,IND,PG,69.0,68.0,2224.0,500.0,1048.0,0.477,195.0,535.0,0.364,305.0,513.0,0.595,0.57,194.0,227.0,0.855,35.0,236.0,271.0,752.0,83.0,48.0,159.0,75.0,1389.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0
youngtr01,2024,39.0,Trae Young,25.0,ATL,PG,54.0,54.0,1942.0,433.0,1008.0,0.43,175.0,469.0,0.373,258.0,539.0,0.479,0.516,348.0,407.0,0.855,23.0,126.0,149.0,583.0,72.0,11.0,235.0,109.0,1389.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0
thompkl01,2024,40.0,Klay Thompson,33.0,GSW,SF,77.0,63.0,2284.0,490.0,1133.0,0.432,268.0,692.0,0.387,222.0,441.0,0.503,0.551,127.0,137.0,0.927,35.0,219.0,254.0,176.0,50.0,35.0,117.0,127.0,1375.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
vucevni01,2024,41.0,Nikola Vučević,33.0,CHI,C,76.0,74.0,2610.0,586.0,1211.0,0.484,92.0,313.0,0.294,494.0,898.0,0.55,0.522,106.0,129.0,0.822,210.0,591.0,801.0,254.0,50.0,60.0,120.0,190.0,1370.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
russeda01,2024,42.0,D'Angelo Russell,27.0,LAL,PG,76.0,69.0,2484.0,492.0,1080.0,0.456,226.0,545.0,0.415,266.0,535.0,0.497,0.56,159.0,192.0,0.828,28.0,208.0,236.0,482.0,69.0,36.0,156.0,156.0,1369.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
adebaba01,2024,43.0,Bam Adebayo,26.0,MIA,C,71.0,71.0,2416.0,530.0,1017.0,0.521,15.0,42.0,0.357,515.0,975.0,0.528,0.529,292.0,387.0,0.755,159.0,578.0,737.0,278.0,81.0,66.0,162.0,159.0,1367.0,2.0,0,1,0,1,0,3,0,0,0,0,0,0
holmgch01,2024,44.0,Chet Holmgren,21.0,OKC,C,82.0,82.0,2413.0,505.0,953.0,0.53,129.0,349.0,0.37,376.0,604.0,0.623,0.598,218.0,275.0,0.793,129.0,519.0,648.0,200.0,53.0,190.0,131.0,197.0,1357.0,0.0,0,0,0,0,0,0,0,0,0,0,0,2
poolejo01,2024,45.0,Jordan Poole,24.0,WAS,SG,78.0,66.0,2346.0,490.0,1186.0,0.413,184.0,564.0,0.326,306.0,622.0,0.492,0.491,192.0,219.0,0.877,32.0,180.0,212.0,343.0,86.0,25.0,188.0,244.0,1356.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
portemi01,2024,46.0,Michael Porter Jr.,25.0,DEN,SF,81.0,81.0,2565.0,522.0,1079.0,0.484,220.0,554.0,0.397,302.0,525.0,0.575,0.586,92.0,110.0,0.836,106.0,459.0,565.0,122.0,42.0,53.0,92.0,148.0,1356.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
willija06,2024,47.0,Jalen Williams,22.0,OKC,PF,71.0,71.0,2223.0,536.0,993.0,0.54,103.0,241.0,0.427,433.0,752.0,0.576,0.592,180.0,221.0,0.814,37.0,245.0,282.0,322.0,80.0,45.0,123.0,175.0,1355.0,0.0,0,0,12,0,0,0,0,0,0,0,0,0
embiijo01,2024,48.0,Joel Embiid,29.0,PHI,C,39.0,39.0,1309.0,450.0,851.0,0.529,54.0,139.0,0.388,396.0,712.0,0.556,0.561,399.0,452.0,0.883,95.0,335.0,430.0,219.0,46.0,66.0,150.0,112.0,1353.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0
