player_id,year,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG_pct,_3P,_3PA,_3P_pct,_2P,_2PA,_2P_pct,eFG_pct,FT,FTA,FT_pct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,6MOY,AS,CPOY,DEF1,DEF2,DPOY,MIP,MVP,NBA1,NBA2,NBA3,ROY
hoodsja01,2025,426.0,Jalen Hood-Schifino,21.0,PHI,SG,13.0,0.0,301.0,5.9,15.9,0.371,2.3,7.5,0.304,3.6,8.4,0.431,0.443,2.6,3.1,0.842,0.3,3.9,4.3,5.9,0.8,1.0,2.8,3.6,16.7,99.0,122.0,0,0,0,0,0,0,0,0,0,0,0,0
craigto01,2025,427.0,Torrey Craig,34.0,2TM,SF,26.0,4.0,314.0,5.9,14.0,0.422,3.7,10.3,0.364,2.2,3.7,0.583,0.556,1.2,1.9,0.667,4.2,7.2,11.4,2.6,1.2,1.9,1.2,5.3,16.8,121.0,112.0,0,0,0,0,0,0,0,0,0,0,0,0
craigto01,2025,427.0,Torrey Craig,34.0,CHI,SF,9.0,1.0,113.0,9.1,18.6,0.489,6.2,14.5,0.429,2.9,4.1,0.7,0.656,1.2,1.7,0.75,3.3,7.0,10.3,2.1,0.8,0.4,0.0,6.2,25.6,138.0,118.0,0,0,0,0,0,0,0,0,0,0,0,0
craigto01,2025,427.0,Torrey Craig,34.0,BOS,SF,17.0,3.0,201.0,4.0,11.2,0.356,2.2,7.7,0.29,1.7,3.5,0.5,0.456,1.2,2.0,0.625,4.7,7.2,12.0,3.0,1.5,2.7,2.0,4.7,11.5,110.0,109.0,0,0,0,0,0,0,0,0,0,0,0,0
mclaujo01,2025,428.0,Jordan McLaughlin,28.0,2TM,PG,46.0,0.0,314.0,4.8,11.2,0.431,2.9,7.1,0.413,1.9,4.0,0.462,0.563,2.6,3.4,0.773,0.9,3.7,4.7,7.9,2.5,0.2,2.5,2.8,15.2,122.0,118.0,0,0,0,0,0,0,0,0,0,0,0,0
mclaujo01,2025,428.0,Jordan McLaughlin,28.0,SAC,PG,28.0,0.0,190.0,4.1,11.3,0.364,2.6,6.7,0.385,1.5,4.6,0.333,0.477,2.8,4.1,0.688,1.0,4.4,5.4,6.2,2.8,0.0,2.8,3.3,13.6,106.0,116.0,0,0,0,0,0,0,0,0,0,0,0,0
mclaujo01,2025,428.0,Jordan McLaughlin,28.0,SAS,PG,18.0,0.0,124.0,5.8,10.9,0.536,3.5,7.8,0.45,2.3,3.1,0.75,0.696,2.3,2.3,1.0,0.8,2.7,3.5,10.5,1.9,0.4,1.9,1.9,17.5,148.0,120.0,0,0,0,0,0,0,0,0,0,0,0,0
thybuma01,2025,429.0,Matisse Thybulle,27.0,POR,SG,15.0,5.0,312.0,6.5,13.7,0.477,3.3,7.5,0.438,3.3,6.2,0.525,0.597,1.1,2.3,0.467,2.2,5.9,8.1,4.4,5.1,1.4,2.0,2.2,17.4,119.0,107.0,0,0,0,0,0,0,0,0,0,0,0,0
jonesis01,2025,430.0,Isaac Jones,24.0,SAC,PF,40.0,0.0,304.0,8.7,13.4,0.651,0.5,1.3,0.375,8.2,12.1,0.68,0.669,3.7,5.8,0.639,3.5,5.6,9.2,1.9,0.8,1.6,2.6,4.8,21.6,124.0,118.0,0,0,0,0,0,0,0,0,0,0,0,0
kolekty01,2025,431.0,Tyler Kolek,23.0,NYK,PG,41.0,0.0,296.0,4.5,13.7,0.329,2.3,7.9,0.298,2.2,5.9,0.371,0.415,2.2,2.8,0.765,1.3,3.2,4.5,11.7,2.0,0.7,3.0,4.4,13.6,109.0,116.0,0,0,0,0,0,0,0,0,0,0,0,0
robinmi01,2025,432.0,Mitchell Robinson,26.0,NYK,C,17.0,3.0,290.0,6.3,9.6,0.661,0.0,0.0,,6.3,9.6,0.661,0.661,2.2,3.3,0.684,8.9,8.4,17.3,2.2,2.7,3.1,1.7,4.4,14.9,143.0,108.0,0,0,0,0,0,0,0,0,0,0,0,0
minotjo01,2025,433.0,Josh Minott,22.0,MIN,SF,46.0,0.0,276.0,7.9,16.1,0.489,2.5,7.7,0.326,5.4,8.4,0.638,0.567,3.0,3.4,0.895,2.1,6.3,8.4,3.2,2.7,2.1,2.0,6.1,21.3,121.0,108.0,0,0,0,0,0,0,0,0,0,0,0,0
