player_id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,Added,Added,Unnamed: 26_level_0
,Rk,Player,Age,Team,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,Awards
caldwke01,42.0,Kentavious Caldwell-Pope,30.0,DEN,SG,76.0,76.0,2402.0,0.46,0.52,0.406,0.566,0.894,0.602,0.193,0.525,97.0,95.0,111.0,104.0,114.0,104.0,79.0,133.0,23.4,27.4,
bogdabo01,43.0,Bogdan Bogdanović,31.0,ATL,SG,79.0,33.0,2401.0,0.428,0.503,0.374,0.537,0.921,0.569,0.149,0.583,90.0,92.0,102.0,98.0,117.0,98.0,61.0,148.0,-20.4,-26.7,6MOY-5
millebr02,44.0,Brandon Miller,21.0,CHO,SF,74.0,68.0,2383.0,0.44,0.495,0.373,0.524,0.827,0.552,0.16,0.455,93.0,91.0,102.0,96.0,105.0,95.0,65.0,115.0,-47.8,-65.6,ROY-3
barneha02,45.0,Harrison Barnes,31.0,SAC,PF,82.0,82.0,2381.0,0.474,0.571,0.387,0.576,0.801,0.611,0.268,0.526,100.0,105.0,106.0,105.0,102.0,105.0,110.0,133.0,42.9,50.9,
whitede01,46.0,Derrick White,29.0,BOS,SG,73.0,73.0,2381.0,0.461,0.555,0.396,0.578,0.901,0.611,0.181,0.59,97.0,102.0,108.0,106.0,115.0,105.0,74.0,149.0,52.9,56.2,"DPOY-8,DEF2"
harrito02,47.0,Tobias Harris,31.0,PHI,PF,70.0,70.0,2368.0,0.487,0.537,0.353,0.535,0.878,0.576,0.224,0.271,103.0,98.0,96.0,98.0,112.0,99.0,92.0,69.0,-22.5,-7.9,
divindo01,48.0,Donte DiVincenzo,27.0,NYK,SG,81.0,63.0,2360.0,0.443,0.542,0.401,0.584,0.754,0.597,0.114,0.702,93.0,99.0,110.0,107.0,96.0,103.0,46.0,178.0,75.6,36.2,
poolejo01,49.0,Jordan Poole,24.0,WAS,SG,78.0,66.0,2346.0,0.413,0.492,0.326,0.491,0.877,0.529,0.185,0.476,87.0,90.0,89.0,90.0,112.0,91.0,76.0,120.0,-132.4,-131.5,
brownja02,50.0,Jaylen Brown,27.0,BOS,SF,70.0,70.0,2343.0,0.499,0.57,0.354,0.557,0.703,0.58,0.239,0.326,105.0,104.0,97.0,102.0,90.0,100.0,98.0,83.0,26.1,-0.1,AS
beaslma01,51.0,Malik Beasley,27.0,MIL,SG,79.0,77.0,2337.0,0.443,0.533,0.413,0.598,0.714,0.603,0.048,0.751,93.0,98.0,113.0,109.0,91.0,104.0,20.0,190.0,74.8,33.6,
wagnefr01,52.0,Franz Wagner,22.0,ORL,SF,72.0,72.0,2337.0,0.482,0.57,0.281,0.525,0.85,0.575,0.291,0.305,102.0,104.0,77.0,96.0,108.0,99.0,119.0,77.0,-48.0,-13.2,
leonaka01,53.0,Kawhi Leonard,32.0,LAC,SF,68.0,68.0,2330.0,0.525,0.569,0.417,0.585,0.885,0.626,0.246,0.289,111.0,104.0,114.0,107.0,113.0,108.0,101.0,73.0,89.9,119.1,"AS,NBA2"
joneshe01,54.0,Herbert Jones,25.0,NOP,SF,76.0,76.0,2321.0,0.498,0.568,0.418,0.595,0.867,0.636,0.269,0.464,105.0,104.0,114.0,109.0,111.0,110.0,110.0,118.0,57.3,74.3,"DPOY-5,DEF1"
gordoaa01,55.0,Aaron Gordon,28.0,DEN,PF,73.0,73.0,2297.0,0.556,0.619,0.29,0.584,0.658,0.607,0.376,0.193,117.0,114.0,79.0,107.0,84.0,105.0,154.0,49.0,53.4,45.2,
thompkl01,56.0,Klay Thompson,33.0,GSW,SF,77.0,63.0,2284.0,0.432,0.503,0.387,0.551,0.927,0.576,0.121,0.611,91.0,92.0,106.0,101.0,118.0,99.0,49.0,155.0,9.5,-9.2,
kuzmaky01,57.0,Kyle Kuzma,28.0,WAS,PF,70.0,70.0,2281.0,0.463,0.53,0.336,0.521,0.775,0.547,0.183,0.343,98.0,97.0,92.0,95.0,99.0,94.0,75.0,87.0,-68.2,-92.5,
holidjr01,58.0,Jrue Holiday,33.0,BOS,PG,69.0,69.0,2263.0,0.48,0.526,0.429,0.581,0.833,0.597,0.104,0.467,101.0,96.0,117.0,106.0,106.0,103.0,43.0,118.0,46.9,24.0,"DPOY-6,DEF2"
avdijde01,59.0,Deni Avdija,23.0,WAS,SF,75.0,75.0,2257.0,0.506,0.56,0.374,0.56,0.74,0.597,0.34,0.293,107.0,103.0,102.0,103.0,94.0,103.0,139.0,74.0,22.3,31.2,
vassede01,60.0,Devin Vassell,23.0,SAS,SG,68.0,62.0,2248.0,0.472,0.544,0.372,0.55,0.801,0.578,0.19,0.422,99.0,100.0,102.0,101.0,102.0,100.0,78.0,107.0,7.7,-4.5,
dortlu01,61.0,Luguentz Dort,24.0,OKC,SF,79.0,79.0,2246.0,0.438,0.506,0.394,0.557,0.826,0.593,0.236,0.603,92.0,93.0,108.0,102.0,105.0,102.0,97.0,153.0,13.9,18.8,
strusma01,62.0,Max Strus,27.0,CLE,SF,70.0,70.0,2239.0,0.418,0.546,0.351,0.533,0.794,0.553,0.133,0.658,88.0,100.0,96.0,98.0,101.0,95.0,55.0,167.0,-19.8,-41.0,
brookdi01,63.0,Dillon Brooks,28.0,HOU,SF,72.0,72.0,2227.0,0.428,0.492,0.359,0.515,0.844,0.549,0.191,0.482,90.0,90.0,98.0,94.0,108.0,95.0,78.0,122.0,-48.5,-50.9,
halibty01,64.0,Tyrese Haliburton,23.0,IND,PG,69.0,68.0,2224.0,0.477,0.595,0.364,0.57,0.855,0.605,0.217,0.51,101.0,109.0,100.0,104.0,109.0,104.0,89.0,129.0,49.5,57.5,"AS,NBA3"
willija06,65.0,Jalen Williams,22.0,OKC,PF,71.0,71.0,2223.0,0.54,0.576,0.427,0.592,0.814,0.621,0.223,0.243,114.0,106.0,117.0,108.0,104.0,107.0,91.0,61.0,89.6,90.3,CPOY-12
washipj01,66.0,P.J. Washington,25.0,2TM,PF,73.0,45.0,2221.0,0.436,0.558,0.32,0.518,0.683,0.537,0.179,0.509,92.0,102.0,87.0,95.0,87.0,93.0,73.0,129.0,-46.5,-75.7,
washipj01,66.0,P.J. Washington,25.0,CHO,PF,44.0,17.0,1286.0,0.446,0.558,0.324,0.524,0.713,0.545,0.185,0.479,94.0,102.0,89.0,96.0,91.0,94.0,76.0,121.0,-23.4,-38.4,
washipj01,66.0,P.J. Washington,25.0,DAL,PF,29.0,28.0,935.0,0.421,0.556,0.314,0.508,0.627,0.522,0.169,0.56,89.0,102.0,86.0,93.0,80.0,90.0,69.0,142.0,-23.1,-37.3,
iveyja01,67.0,Jaden Ivey,21.0,DET,SG,77.0,61.0,2217.0,0.429,0.485,0.336,0.492,0.749,0.536,0.311,0.379,90.0,89.0,92.0,90.0,96.0,92.0,127.0,96.0,-105.6,-98.3,
