player_id,Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
antetth01,449.0,Thanasis Antetokounmpo,31.0,MIL,PF,34.0,0.0,155.0,5.5,0.518,0.033,0.067,5.1,4.2,4.6,13.9,2.2,2.2,31.2,12.5,-0.2,0.1,0.0,-0.01,-6.7,0.3,-6.4,-0.2,
vukcetr01,450.0,Tristan Vukcevic,20.0,WAS,C,10.0,4.0,153.0,13.9,0.554,0.537,0.328,4.1,21.5,12.6,12.1,1.5,3.7,11.5,23.9,0.0,0.1,0.1,0.045,-3.5,-0.1,-3.6,-0.1,
bazleda01,451.0,Darius Bazley,23.0,2TM,PF,9.0,0.0,152.0,13.9,0.68,0.267,0.4,5.8,14.4,10.1,6.0,1.9,4.1,18.5,11.9,0.2,0.1,0.3,0.084,-0.9,0.5,-0.4,0.1,
bazleda01,451.0,Darius Bazley,23.0,PHI,PF,3.0,0.0,10.0,-1.6,0.0,0.0,0.0,0.0,11.2,5.5,23.2,0.0,0.0,50.0,8.6,0.0,0.0,0.0,-0.142,-7.7,-0.7,-8.4,0.0,
bazleda01,451.0,Darius Bazley,23.0,UTA,PF,6.0,0.0,142.0,14.9,0.7,0.276,0.414,6.3,14.6,10.5,4.7,2.0,4.4,17.0,12.2,0.2,0.1,0.3,0.1,-0.4,0.6,0.2,0.1,
jarrede01,452.0,DeJon Jarreau,26.0,MEM,SG,9.0,0.0,150.0,9.6,0.392,0.26,0.22,5.6,27.3,16.0,25.4,2.0,1.2,14.1,18.3,-0.2,0.2,0.0,0.002,-4.6,0.7,-4.0,-0.1,
bernaju01,453.0,Jules Bernard,24.0,WAS,SG,19.0,0.0,149.0,12.7,0.544,0.453,0.141,7.0,11.8,9.3,15.4,0.9,0.5,10.5,21.5,0.0,0.0,0.1,0.026,-0.6,-2.5,-3.0,0.0,
dowtije01,454.0,Jeff Dowtin Jr.,26.0,PHI,PG,12.0,0.0,142.0,18.2,0.689,0.528,0.111,2.3,13.5,7.8,26.4,2.4,0.6,11.7,13.0,0.4,0.2,0.6,0.193,2.0,1.3,3.3,0.2,
cissosi01,455.0,Sidy Cissoko,19.0,SAS,SF,12.0,0.0,141.0,12.0,0.568,0.364,0.455,6.1,10.8,8.4,9.4,2.4,1.8,7.0,12.7,0.2,0.1,0.3,0.11,-4.0,1.4,-2.7,0.0,
clarkbr01,456.0,Brandon Clarke,27.0,MEM,PF,6.0,1.0,134.0,18.9,0.548,0.102,0.119,10.2,16.2,13.1,12.2,1.8,4.2,4.6,20.8,0.1,0.2,0.3,0.108,0.7,0.3,1.0,0.1,
batesem01,457.0,Emoni Bates,20.0,CLE,SF,15.0,0.0,133.0,2.6,0.404,0.673,0.082,0.9,10.9,5.9,10.0,0.4,1.4,13.6,19.5,-0.4,0.1,-0.3,-0.092,-6.2,-3.0,-9.2,-0.2,
smithdr01,458.0,Dru Smith,26.0,MIA,SG,9.0,0.0,131.0,12.8,0.576,0.515,0.061,5.1,7.0,6.1,15.0,3.4,2.2,12.9,13.2,0.1,0.2,0.3,0.125,-1.8,3.2,1.4,0.1,
willije02,459.0,Jeenathan Williams,24.0,HOU,SG,22.0,0.0,129.0,15.6,0.565,0.1,0.26,9.9,9.2,9.6,8.3,1.5,0.7,6.7,19.7,0.2,0.1,0.3,0.11,-0.8,-0.8,-1.6,0.0,
warretj01,460.0,T.J. Warren,30.0,MIN,SF,11.0,0.0,125.0,9.2,0.479,0.317,0.098,4.8,14.8,10.0,10.1,1.6,0.7,8.6,16.5,0.0,0.2,0.2,0.06,-5.0,0.5,-4.5,-0.1,
allenti01,461.0,Timmy Allen,24.0,MEM,SF,5.0,0.0,125.0,0.8,0.272,0.304,0.087,3.4,11.8,7.4,5.4,1.6,0.0,7.7,8.9,-0.2,0.1,-0.1,-0.041,-10.3,-0.7,-11.1,-0.3,
pickeja02,462.0,Jalen Pickett,24.0,DEN,SG,27.0,0.0,122.0,9.7,0.571,0.714,0.114,0.9,11.5,6.4,21.7,1.6,0.0,19.7,16.4,0.0,0.1,0.2,0.065,-2.7,-0.5,-3.3,0.0,
garzalu01,463.0,Luka Garza,25.0,MIN,C,25.0,0.0,122.0,21.8,0.576,0.427,0.333,18.6,10.7,14.4,5.9,1.6,0.7,6.5,33.3,0.2,0.2,0.4,0.166,0.6,-2.7,-2.1,0.0,
pereima01,464.0,Mãozinha Pereira,23.0,MEM,SF,7.0,1.0,122.0,15.7,0.609,0.371,0.286,9.5,24.3,16.6,2.5,2.4,3.1,11.3,15.6,0.1,0.2,0.3,0.123,-1.2,0.7,-0.5,0.0,
ramseja01,465.0,Jahmi'us Ramsey,22.0,TOR,SG,7.0,1.0,121.0,10.6,0.538,0.537,0.146,3.6,16.7,10.0,9.1,2.8,0.0,13.8,17.9,-0.1,0.1,0.1,0.021,-3.9,-0.5,-4.4,-0.1,
boldema01,466.0,Marques Bolden,25.0,2TM,C,11.0,2.0,121.0,16.0,0.691,0.04,0.16,9.0,22.8,15.8,4.8,1.2,5.4,10.1,10.9,0.2,0.1,0.3,0.134,-2.1,-0.5,-2.7,0.0,
boldema01,466.0,Marques Bolden,25.0,MIL,C,2.0,0.0,3.0,3.0,,,,0.0,71.5,36.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.102,-7.8,2.3,-5.5,0.0,
boldema01,466.0,Marques Bolden,25.0,CHO,C,9.0,2.0,118.0,16.4,0.691,0.04,0.16,9.2,21.6,15.2,4.9,1.3,5.5,10.1,11.1,0.2,0.1,0.3,0.135,-2.0,-0.6,-2.6,0.0,
gueyemo01,467.0,Mouhamadou Gueye,25.0,TOR,PF,11.0,0.0,120.0,4.6,0.31,0.079,0.237,10.8,10.3,10.5,5.3,1.2,13.2,22.2,19.2,-0.5,0.2,-0.4,-0.147,-11.0,-0.9,-11.9,-0.3,
moonxa01,468.0,Xavier Moon,29.0,LAC,SG,14.0,1.0,119.0,8.1,0.352,0.37,0.043,7.9,9.2,8.5,23.4,1.2,2.3,9.6,19.1,-0.2,0.1,-0.1,-0.026,-4.7,-1.4,-6.1,-0.1,
williro04,469.0,Robert Williams,26.0,POR,C,6.0,0.0,119.0,17.2,0.684,0.0,0.346,9.8,27.0,17.9,6.3,2.9,5.3,18.9,13.2,0.2,0.2,0.4,0.144,-2.2,2.9,0.7,0.1,
willibr03,470.0,Brandon Williams,24.0,DAL,PG,17.0,0.0,113.0,9.3,0.439,0.278,0.315,3.9,8.7,6.3,20.9,0.4,0.8,10.2,26.0,-0.2,0.1,-0.1,-0.044,-2.7,-2.8,-5.5,-0.1,
azubuud01,471.0,Udoka Azubuike,24.0,PHO,C,16.0,0.0,113.0,12.3,0.609,0.0,0.565,11.6,20.0,16.0,3.6,0.4,4.7,12.2,12.6,0.1,0.1,0.2,0.1,-3.0,-0.1,-3.2,0.0,
hurtma01,472.0,Matthew Hurt,23.0,MEM,PF,8.0,0.0,113.0,8.4,0.453,0.588,0.088,8.4,7.1,7.7,5.1,1.3,2.5,5.4,14.2,0.0,0.1,0.1,0.031,-3.0,-0.7,-3.7,-0.1,
hoodsja01,473.0,Jalen Hood-Schifino,20.0,LAL,SG,21.0,0.0,109.0,-1.5,0.316,0.333,0.444,2.1,10.7,6.6,9.1,1.3,1.6,14.3,24.9,-0.6,0.1,-0.5,-0.222,-12.4,-3.7,-16.1,-0.4,
windldy01,474.0,Dylan Windler,27.0,3TM,SF,17.0,0.0,108.0,14.2,0.717,0.9,0.0,2.9,13.4,8.1,12.3,0.9,0.0,6.3,12.5,0.3,0.0,0.3,0.14,1.7,-1.0,0.7,0.1,
windldy01,474.0,Dylan Windler,27.0,NYK,SF,3.0,0.0,7.0,15.5,0.75,1.0,0.0,0.0,16.1,8.0,20.0,0.0,0.0,0.0,12.3,0.0,0.0,0.0,0.238,3.7,3.8,7.4,0.0,
windldy01,474.0,Dylan Windler,27.0,LAL,SF,8.0,0.0,28.0,15.9,0.667,0.889,0.0,0.0,11.3,6.0,28.2,0.0,0.0,0.0,13.9,0.1,0.0,0.1,0.194,3.8,-0.6,3.2,0.0,
windldy01,474.0,Dylan Windler,27.0,ATL,SF,6.0,0.0,73.0,13.4,0.737,0.895,0.0,4.3,14.0,9.0,5.5,1.3,0.0,9.5,12.0,0.1,0.0,0.2,0.11,0.6,-1.6,-0.9,0.0,
willima11,475.0,Malik Williams,25.0,TOR,C,7.0,2.0,107.0,4.9,0.272,0.147,0.059,15.1,24.1,19.5,2.4,1.4,3.3,7.9,15.1,-0.3,0.1,-0.2,-0.069,-7.8,-3.7,-11.5,-0.3,
brookar01,476.0,Armoni Brooks,25.0,BRK,PG,10.0,0.0,104.0,8.3,0.448,0.696,0.043,7.2,11.9,9.5,6.9,0.5,0.9,6.0,20.8,-0.1,0.1,0.0,-0.018,-2.2,-3.7,-5.8,-0.1,
lewisma05,477.0,Maxwell Lewis,21.0,LAL,SF,34.0,0.0,103.0,-3.9,0.246,0.429,0.143,2.3,2.1,2.2,6.8,0.9,0.8,30.9,13.6,-0.5,0.0,-0.4,-0.195,-10.3,-3.2,-13.5,-0.3,
gilesha01,478.0,Harry Giles,25.0,2TM,C,23.0,0.0,100.0,14.8,0.503,0.28,0.26,12.8,20.0,16.4,10.5,1.0,2.7,9.7,26.7,0.0,0.1,0.1,0.027,-2.7,-2.0,-4.8,-0.1,
gilesha01,478.0,Harry Giles,25.0,BRK,C,16.0,0.0,81.0,18.5,0.543,0.25,0.295,15.7,19.5,17.6,13.0,0.6,3.3,10.8,29.8,0.0,0.1,0.1,0.071,-1.1,-1.8,-2.8,0.0,
gilesha01,478.0,Harry Giles,25.0,LAL,C,7.0,0.0,19.0,-1.0,0.167,0.5,0.0,0.0,22.3,11.7,0.0,2.5,0.0,0.0,13.6,-0.1,0.0,-0.1,-0.162,-9.7,-3.2,-12.9,-0.1,
sarrol01,479.0,Olivier Sarr,24.0,OKC,C,15.0,0.0,98.0,14.8,0.664,0.316,0.789,11.8,28.5,20.5,2.5,0.0,6.6,10.5,12.7,0.2,0.2,0.4,0.186,-2.6,-0.1,-2.6,0.0,
bouyeja01,480.0,Jamaree Bouyea,24.0,2TM,PG,9.0,0.0,95.0,1.5,0.375,0.321,0.0,3.4,19.2,11.0,15.9,0.5,0.0,24.3,16.5,-0.3,0.1,-0.3,-0.129,-10.2,-2.0,-12.3,-0.2,
bouyeja01,480.0,Jamaree Bouyea,24.0,POR,PG,6.0,0.0,57.0,-4.8,0.238,0.381,0.0,3.7,16.7,9.8,19.4,0.0,0.0,27.6,21.6,-0.4,0.0,-0.4,-0.299,-13.0,-4.8,-17.8,-0.2,
bouyeja01,480.0,Jamaree Bouyea,24.0,SAS,PG,3.0,0.0,38.0,11.1,0.786,0.143,0.0,2.8,23.0,12.8,10.7,1.2,0.0,12.5,8.9,0.1,0.0,0.1,0.126,-6.1,2.2,-3.9,0.0,
minotjo01,481.0,Josh Minott,21.0,MIN,SF,32.0,0.0,91.0,20.4,0.593,0.278,0.389,5.2,15.5,10.6,13.2,2.7,4.9,4.5,21.4,0.2,0.2,0.4,0.222,1.8,3.3,5.1,0.2,
livinch01,482.0,Chris Livingston,20.0,MIL,SF,21.0,0.0,90.0,6.9,0.547,0.227,0.182,3.7,21.5,12.8,7.2,1.1,0.0,17.4,13.8,0.0,0.1,0.1,0.027,-7.0,-1.0,-8.0,-0.1,
swideco01,483.0,Cole Swider,24.0,MIA,SF,18.0,0.0,87.0,7.1,0.54,0.789,0.053,1.3,7.9,4.6,8.8,0.6,1.1,17.1,24.0,-0.2,0.1,-0.1,-0.05,-2.1,-2.4,-4.5,-0.1,
schofad01,484.0,Admiral Schofield,26.0,ORL,PF,23.0,0.0,84.0,6.0,0.484,0.615,0.077,4.2,19.7,11.9,11.6,0.6,0.0,15.7,16.6,-0.1,0.1,0.0,0.006,-4.1,-0.8,-4.9,-0.1,
smithte01,485.0,Terquavion Smith,21.0,PHI,PG,16.0,0.0,84.0,14.8,0.539,0.761,0.109,0.0,5.4,2.6,22.1,4.7,0.0,12.7,28.4,0.0,0.1,0.1,0.05,0.3,0.5,0.8,0.1,
boehebu01,486.0,Buddy Boeheim,24.0,DET,SF,10.0,0.0,84.0,9.1,0.509,0.862,0.345,3.9,9.5,6.6,4.8,0.0,1.0,0.0,17.0,0.1,0.0,0.1,0.047,-0.7,-2.8,-3.5,0.0,
walshjo01,487.0,Jordan Walsh,19.0,BOS,SF,9.0,1.0,83.0,8.4,0.472,0.6,0.133,6.8,18.7,13.0,7.2,3.0,1.1,15.9,9.9,0.0,0.2,0.2,0.089,-5.6,1.8,-3.8,0.0,
