player_id,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
schrode01,32.0,Dennis Schröder,30.0,TOR,PG,51.0,33.0,1559.0,7.7,17.3,0.442,2.4,6.8,0.35,5.3,10.5,0.501,0.511,3.9,4.6,0.852,0.7,3.7,4.3,9.7,1.4,0.2,2.6,3.3,21.6,117.0,122.0,
schrode01,32.0,Dennis Schröder,30.0,BRK,PG,29.0,25.0,927.0,8.3,19.7,0.424,3.3,7.9,0.412,5.1,11.8,0.432,0.507,2.7,3.4,0.797,0.9,4.5,5.4,9.3,0.9,0.5,3.7,3.2,22.7,109.0,120.0,
russeda01,33.0,D'Angelo Russell,27.0,LAL,PG,76.0,69.0,2484.0,9.4,20.7,0.456,4.3,10.4,0.415,5.1,10.2,0.497,0.56,3.0,3.7,0.828,0.5,4.0,4.5,9.2,1.3,0.7,3.0,3.0,26.2,116.0,118.0,
hardeja01,34.0,James Harden,34.0,LAC,PG,72.0,72.0,2470.0,7.0,16.4,0.428,3.7,9.8,0.381,3.3,6.7,0.497,0.541,6.0,6.9,0.878,0.7,6.7,7.4,12.3,1.5,1.1,3.7,2.5,23.8,125.0,116.0,
bookede01,35.0,Devin Booker,27.0,PHO,PG,68.0,68.0,2447.0,12.8,26.0,0.492,3.0,8.3,0.364,9.8,17.7,0.552,0.55,8.1,9.1,0.886,1.1,5.0,6.1,9.4,1.2,0.6,3.6,4.1,36.7,124.0,117.0,"AS,NBA3"
allenja01,36.0,Jarrett Allen,25.0,CLE,C,77.0,77.0,2442.0,10.5,16.6,0.634,0.0,0.1,0.0,10.5,16.4,0.638,0.634,4.7,6.4,0.742,4.9,11.5,16.4,4.2,1.1,1.6,2.4,3.0,25.7,131.0,110.0,DPOY-10
smithja05,37.0,Jabari Smith Jr.,20.0,HOU,PF,76.0,76.0,2424.0,7.6,16.7,0.454,2.8,7.6,0.363,4.8,9.1,0.53,0.537,3.0,3.7,0.811,2.8,9.5,12.3,2.4,1.0,1.2,1.8,4.0,20.9,116.0,113.0,
curryst01,38.0,Stephen Curry,35.0,GSW,PG,74.0,74.0,2421.0,13.0,28.9,0.45,7.1,17.5,0.408,5.9,11.4,0.515,0.573,6.0,6.5,0.923,0.7,5.9,6.6,7.6,1.1,0.6,4.2,2.3,39.1,119.0,117.0,"CPOY-1,AS,NBA3"
adebaba01,39.0,Bam Adebayo,26.0,MIA,C,71.0,71.0,2416.0,10.9,21.0,0.521,0.3,0.9,0.357,10.6,20.1,0.528,0.529,6.0,8.0,0.755,3.3,11.9,15.2,5.7,1.7,1.4,3.3,3.3,28.2,115.0,109.0,"DPOY-3,AS,DEF1"
holmgch01,40.0,Chet Holmgren,21.0,OKC,C,82.0,82.0,2413.0,10.1,19.0,0.53,2.6,7.0,0.37,7.5,12.0,0.623,0.598,4.3,5.5,0.793,2.6,10.3,12.9,4.0,1.1,3.8,2.6,3.9,27.0,122.0,108.0,ROY-2
lopezbr01,41.0,Brook Lopez,35.0,MIL,C,79.0,79.0,2411.0,7.3,15.0,0.485,2.9,8.1,0.366,4.3,7.0,0.621,0.583,2.2,2.7,0.821,2.3,5.8,8.2,2.5,0.9,3.8,1.6,3.8,19.7,121.0,114.0,
caldwke01,42.0,Kentavious Caldwell-Pope,30.0,DEN,SG,76.0,76.0,2402.0,5.6,12.1,0.46,2.6,6.4,0.406,3.0,5.8,0.52,0.566,2.1,2.3,0.894,0.6,3.1,3.8,3.8,2.0,0.9,1.5,3.1,15.8,119.0,115.0,
bogdabo01,43.0,Bogdan Bogdanović,31.0,ATL,SG,79.0,33.0,2401.0,9.4,22.0,0.428,4.8,12.8,0.374,4.6,9.2,0.503,0.537,3.0,3.3,0.921,1.1,4.4,5.4,4.9,1.9,0.5,2.2,3.6,26.6,116.0,120.0,6MOY-5
millebr02,44.0,Brandon Miller,21.0,CHO,SF,74.0,68.0,2383.0,9.9,22.4,0.44,3.8,10.2,0.373,6.0,12.2,0.495,0.524,3.0,3.6,0.827,1.2,5.3,6.5,3.6,1.4,0.9,2.7,3.8,26.5,105.0,121.0,ROY-3
barneha02,45.0,Harrison Barnes,31.0,SAC,PF,82.0,82.0,2381.0,7.1,14.9,0.474,3.0,7.9,0.387,4.0,7.1,0.571,0.576,3.2,4.0,0.801,1.4,3.7,5.1,2.0,1.1,0.2,1.2,2.0,20.4,122.0,119.0,
whitede01,46.0,Derrick White,29.0,BOS,SG,73.0,73.0,2381.0,8.0,17.4,0.461,4.1,10.3,0.396,4.0,7.1,0.555,0.578,2.8,3.2,0.901,1.1,5.4,6.4,7.8,1.5,1.8,2.3,3.2,23.0,126.0,112.0,"DPOY-8,DEF2"
harrito02,47.0,Tobias Harris,31.0,PHI,PF,70.0,70.0,2368.0,9.6,19.8,0.487,1.9,5.4,0.353,7.7,14.4,0.537,0.535,3.9,4.4,0.878,1.7,7.8,9.4,4.5,1.5,1.0,1.9,2.4,25.0,118.0,114.0,
divindo01,48.0,Donte DiVincenzo,27.0,NYK,SG,81.0,63.0,2360.0,9.5,21.5,0.443,6.0,15.1,0.401,3.5,6.4,0.542,0.584,1.8,2.4,0.754,1.3,5.0,6.3,4.6,2.3,0.8,2.4,3.5,26.9,120.0,113.0,
poolejo01,49.0,Jordan Poole,24.0,WAS,SG,78.0,66.0,2346.0,9.8,23.6,0.413,3.7,11.2,0.326,6.1,12.4,0.492,0.491,3.8,4.4,0.877,0.6,3.6,4.2,6.8,1.7,0.5,3.7,4.9,27.0,102.0,121.0,
brownja02,50.0,Jaylen Brown,27.0,BOS,SF,70.0,70.0,2343.0,13.2,26.5,0.499,3.1,8.6,0.354,10.2,17.8,0.57,0.557,4.4,6.3,0.703,1.8,6.4,8.2,5.3,1.8,0.8,3.5,3.9,34.0,113.0,112.0,AS
beaslma01,51.0,Malik Beasley,27.0,MIL,SG,79.0,77.0,2337.0,6.6,14.8,0.443,4.6,11.1,0.413,2.0,3.7,0.533,0.598,0.5,0.7,0.714,0.8,5.1,6.0,2.2,1.2,0.2,1.1,3.2,18.3,117.0,118.0,
wagnefr01,52.0,Franz Wagner,22.0,ORL,SF,72.0,72.0,2337.0,11.2,23.2,0.482,2.0,7.1,0.281,9.2,16.1,0.57,0.525,5.7,6.8,0.85,1.5,6.5,8.1,5.7,1.6,0.6,2.9,3.6,30.1,116.0,112.0,
leonaka01,53.0,Kawhi Leonard,32.0,LAC,SF,68.0,68.0,2330.0,12.9,24.6,0.525,3.0,7.1,0.417,10.0,17.5,0.569,0.585,5.4,6.1,0.885,1.8,7.0,8.8,5.2,2.4,1.3,2.5,2.1,34.2,124.0,114.0,"AS,NBA2"
joneshe01,54.0,Herbert Jones,25.0,NOP,SF,76.0,76.0,2321.0,6.2,12.4,0.498,2.4,5.8,0.418,3.8,6.7,0.568,0.595,2.9,3.3,0.867,1.6,4.2,5.7,4.2,2.2,1.3,2.0,4.7,17.7,124.0,113.0,"DPOY-5,DEF1"
gordoaa01,55.0,Aaron Gordon,28.0,DEN,PF,73.0,73.0,2297.0,8.6,15.5,0.556,0.9,3.0,0.29,7.7,12.5,0.619,0.584,3.8,5.8,0.658,3.8,6.4,10.2,5.6,1.2,1.0,2.3,3.1,21.9,125.0,114.0,
thompkl01,56.0,Klay Thompson,33.0,GSW,SF,77.0,63.0,2284.0,10.4,24.0,0.432,5.7,14.7,0.387,4.7,9.3,0.503,0.551,2.7,2.9,0.927,0.7,4.6,5.4,3.7,1.1,0.7,2.5,2.7,29.1,113.0,118.0,
kuzmaky01,57.0,Kyle Kuzma,28.0,WAS,PF,70.0,70.0,2281.0,12.5,26.9,0.463,3.1,9.2,0.336,9.4,17.7,0.53,0.521,3.8,4.9,0.775,1.3,8.2,9.5,6.1,0.8,1.0,3.9,3.1,31.8,103.0,120.0,
holidjr01,58.0,Jrue Holiday,33.0,BOS,PG,69.0,69.0,2263.0,7.2,15.0,0.48,3.0,7.0,0.429,4.2,8.0,0.526,0.581,1.3,1.6,0.833,1.8,6.3,8.1,7.3,1.3,1.2,2.7,2.4,18.8,121.0,113.0,"DPOY-6,DEF2"
avdijde01,59.0,Deni Avdija,23.0,WAS,SF,75.0,75.0,2257.0,8.4,16.6,0.506,1.8,4.9,0.374,6.6,11.8,0.56,0.56,4.2,5.7,0.74,1.7,9.4,11.2,5.9,1.2,0.7,3.3,3.8,22.8,112.0,119.0,
vassede01,60.0,Devin Vassell,23.0,SAS,SG,68.0,62.0,2248.0,10.5,22.3,0.472,3.5,9.4,0.372,7.0,12.9,0.544,0.55,3.4,4.2,0.801,0.6,4.9,5.5,5.8,1.5,0.5,2.3,1.6,27.9,113.0,118.0,
dortlu01,61.0,Luguentz Dort,24.0,OKC,SF,79.0,79.0,2246.0,6.2,14.1,0.438,3.3,8.5,0.394,2.8,5.6,0.506,0.557,2.7,3.3,0.826,1.6,4.5,6.1,2.4,1.5,1.0,1.6,4.9,18.4,117.0,114.0,
strusma01,62.0,Max Strus,27.0,CLE,SF,70.0,70.0,2239.0,6.7,16.1,0.418,3.7,10.6,0.351,3.0,5.5,0.546,0.533,1.7,2.1,0.794,1.5,6.0,7.5,6.2,1.4,0.6,2.5,3.8,18.8,112.0,114.0,
brookdi01,63.0,Dillon Brooks,28.0,HOU,SF,72.0,72.0,2227.0,7.2,16.7,0.428,2.9,8.1,0.359,4.3,8.7,0.492,0.515,2.7,3.2,0.844,1.2,4.2,5.4,2.6,1.4,0.2,1.9,5.2,19.9,109.0,116.0,
halibty01,64.0,Tyrese Haliburton,23.0,IND,PG,69.0,68.0,2224.0,10.6,22.2,0.477,4.1,11.3,0.364,6.5,10.9,0.595,0.57,4.1,4.8,0.855,0.7,5.0,5.7,16.0,1.8,1.0,3.4,1.6,29.5,129.0,119.0,"AS,NBA3"
willija06,65.0,Jalen Williams,22.0,OKC,PF,71.0,71.0,2223.0,11.6,21.5,0.54,2.2,5.2,0.427,9.4,16.3,0.576,0.592,3.9,4.8,0.814,0.8,5.3,6.1,7.0,1.7,1.0,2.7,3.8,29.3,122.0,114.0,CPOY-12
washipj01,66.0,P.J. Washington,25.0,2TM,PF,73.0,45.0,2221.0,7.8,17.8,0.436,2.9,9.1,0.32,4.9,8.7,0.558,0.518,2.2,3.2,0.683,1.9,7.2,9.0,3.1,1.6,1.3,2.1,3.7,20.6,106.0,117.0,
washipj01,66.0,P.J. Washington,25.0,CHO,PF,44.0,17.0,1286.0,8.7,19.5,0.446,3.0,9.4,0.324,5.7,10.2,0.558,0.524,2.6,3.6,0.713,2.0,6.9,8.9,3.7,1.5,1.2,2.5,4.3,23.0,106.0,119.0,
washipj01,66.0,P.J. Washington,25.0,DAL,PF,29.0,28.0,935.0,6.5,15.5,0.421,2.7,8.7,0.314,3.8,6.8,0.556,0.508,1.6,2.6,0.627,1.6,7.5,9.2,2.3,1.7,1.4,1.5,2.9,17.4,106.0,114.0,
iveyja01,67.0,Jaden Ivey,21.0,DET,SG,77.0,61.0,2217.0,9.0,21.1,0.429,2.7,8.0,0.336,6.4,13.1,0.485,0.492,4.9,6.6,0.749,1.9,3.9,5.7,6.4,1.2,0.9,4.1,4.4,25.7,104.0,121.0,
dosunay01,68.0,Ayo Dosunmu,24.0,CHI,SG,76.0,37.0,2212.0,8.1,16.2,0.501,2.7,6.6,0.403,5.4,9.6,0.568,0.583,1.9,2.4,0.81,1.2,3.7,4.9,5.5,1.5,0.8,2.3,3.7,20.8,118.0,119.0,
willizi01,69.0,Zion Williamson,23.0,NOP,PF,70.0,70.0,2207.0,13.9,24.3,0.57,0.1,0.4,0.333,13.7,23.9,0.574,0.573,7.7,11.0,0.702,2.7,6.3,9.0,7.8,1.7,1.0,4.3,3.5,35.6,119.0,113.0,
conlemi01,70.0,Mike Conley,36.0,MIN,PG,76.0,76.0,2193.0,6.6,14.5,0.457,4.0,9.1,0.442,2.6,5.4,0.481,0.595,2.3,2.5,0.911,0.8,4.1,4.9,10.1,2.0,0.4,2.3,2.9,19.6,129.0,111.0,
sochaje01,71.0,Jeremy Sochan,20.0,SAS,PF,74.0,73.0,2193.0,7.4,16.8,0.438,1.5,4.9,0.308,5.8,11.9,0.492,0.483,2.4,3.1,0.771,3.0,7.3,10.3,5.4,1.3,0.9,3.0,3.6,18.6,104.0,117.0,
hieldbu01,72.0,Buddy Hield,31.0,2TM,SF,84.0,42.0,2160.0,8.2,18.9,0.436,4.9,12.6,0.386,3.4,6.3,0.539,0.565,1.2,1.3,0.881,1.4,4.6,6.0,5.2,1.6,0.9,2.3,3.8,22.5,114.0,118.0,
hieldbu01,72.0,Buddy Hield,31.0,IND,SF,52.0,28.0,1336.0,8.1,18.3,0.443,4.8,12.6,0.384,3.2,5.6,0.575,0.575,1.0,1.2,0.848,1.2,4.7,5.9,4.9,1.5,1.1,2.2,3.6,22.0,115.0,119.0,
hieldbu01,72.0,Buddy Hield,31.0,PHI,SG,32.0,14.0,824.0,8.5,19.9,0.426,4.9,12.6,0.389,3.6,7.3,0.492,0.55,1.4,1.6,0.923,1.6,4.5,6.1,5.8,1.6,0.7,2.4,3.9,23.3,114.0,116.0,
mccolcj01,73.0,CJ McCollum,32.0,NOP,PG,66.0,66.0,2159.0,11.0,24.0,0.459,5.4,12.6,0.429,5.6,11.3,0.492,0.572,2.6,3.2,0.827,0.9,5.6,6.5,6.9,1.4,0.9,2.5,2.9,30.0,118.0,114.0,
dinwisp01,74.0,Spencer Dinwiddie,30.0,2TM,PG,76.0,52.0,2152.0,5.7,14.5,0.392,2.8,8.4,0.337,2.9,6.2,0.467,0.489,3.8,4.8,0.805,0.7,4.0,4.7,8.1,1.2,0.5,2.1,3.1,18.1,117.0,119.0,
dinwisp01,74.0,Spencer Dinwiddie,30.0,BRK,PG,48.0,48.0,1474.0,6.6,16.8,0.391,3.0,9.3,0.32,3.6,7.4,0.48,0.48,4.2,5.4,0.781,0.9,4.4,5.3,9.7,1.3,0.3,2.1,2.9,20.3,118.0,119.0,
