player_id,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
fernabr01,300.0,Bruno Fernando,25.0,ATL,C,45.0,2.0,682.0,109.0,187.0,0.583,0.0,4.0,0.0,109.0,183.0,0.596,0.583,64.0,96.0,0.667,59.0,134.0,193.0,46.0,25.0,28.0,44.0,107.0,282.0,0.0,
gallida01,301.0,Danilo Gallinari,35.0,3TM,SF,49.0,0.0,630.0,83.0,190.0,0.437,30.0,93.0,0.323,53.0,97.0,0.546,0.516,84.0,98.0,0.857,20.0,88.0,108.0,55.0,14.0,6.0,23.0,50.0,280.0,0.0,
gallida01,301.0,Danilo Gallinari,35.0,WAS,PF,26.0,0.0,385.0,57.0,131.0,0.435,20.0,64.0,0.313,37.0,67.0,0.552,0.511,47.0,56.0,0.839,12.0,64.0,76.0,31.0,6.0,3.0,12.0,26.0,181.0,0.0,
gallida01,301.0,Danilo Gallinari,35.0,DET,SF,6.0,0.0,90.0,12.0,22.0,0.545,7.0,12.0,0.583,5.0,10.0,0.5,0.705,21.0,24.0,0.875,2.0,12.0,14.0,12.0,2.0,2.0,1.0,9.0,52.0,0.0,
gallida01,301.0,Danilo Gallinari,35.0,MIL,SF,17.0,0.0,155.0,14.0,37.0,0.378,3.0,17.0,0.176,11.0,20.0,0.55,0.419,16.0,18.0,0.889,6.0,12.0,18.0,12.0,6.0,1.0,10.0,15.0,47.0,0.0,
okogijo01,302.0,Josh Okogie,25.0,PHO,SG,60.0,11.0,960.0,86.0,206.0,0.417,29.0,94.0,0.309,57.0,112.0,0.509,0.488,76.0,102.0,0.745,74.0,80.0,154.0,64.0,48.0,24.0,36.0,68.0,277.0,0.0,
willija07,303.0,Jaylin Williams,21.0,OKC,C,69.0,1.0,897.0,95.0,228.0,0.417,53.0,144.0,0.368,42.0,84.0,0.5,0.533,33.0,41.0,0.805,36.0,198.0,234.0,110.0,28.0,27.0,34.0,98.0,276.0,0.0,
landajo01,304.0,Jock Landale,28.0,HOU,C,56.0,3.0,763.0,106.0,206.0,0.515,10.0,40.0,0.25,96.0,166.0,0.578,0.539,52.0,65.0,0.8,88.0,84.0,172.0,65.0,20.0,33.0,31.0,74.0,274.0,0.0,
stevela01,305.0,Lamar Stevens,26.0,2TM,PF,38.0,3.0,559.0,108.0,240.0,0.45,14.0,46.0,0.304,94.0,194.0,0.485,0.479,42.0,54.0,0.778,36.0,91.0,127.0,28.0,23.0,22.0,24.0,45.0,272.0,0.0,
stevela01,305.0,Lamar Stevens,26.0,BOS,PF,19.0,1.0,122.0,21.0,45.0,0.467,3.0,8.0,0.375,18.0,37.0,0.486,0.5,8.0,11.0,0.727,12.0,19.0,31.0,8.0,6.0,5.0,9.0,14.0,53.0,0.0,
stevela01,305.0,Lamar Stevens,26.0,MEM,PF,19.0,2.0,437.0,87.0,195.0,0.446,11.0,38.0,0.289,76.0,157.0,0.484,0.474,34.0,43.0,0.791,24.0,72.0,96.0,20.0,17.0,17.0,15.0,31.0,219.0,0.0,
pippesc02,306.0,Scotty Pippen Jr.,23.0,MEM,PG,21.0,16.0,527.0,100.0,203.0,0.493,30.0,72.0,0.417,70.0,131.0,0.534,0.567,41.0,55.0,0.745,22.0,45.0,67.0,98.0,36.0,10.0,56.0,60.0,271.0,0.0,
weslebl01,307.0,Blake Wesley,20.0,SAS,SG,61.0,3.0,876.0,102.0,215.0,0.474,12.0,55.0,0.218,90.0,160.0,0.563,0.502,52.0,78.0,0.667,18.0,76.0,94.0,166.0,29.0,9.0,55.0,89.0,268.0,0.0,
tateja01,308.0,Jae'Sean Tate,28.0,HOU,SF,65.0,9.0,1031.0,108.0,229.0,0.472,23.0,77.0,0.299,85.0,152.0,0.559,0.522,26.0,39.0,0.667,61.0,136.0,197.0,64.0,42.0,15.0,37.0,137.0,265.0,0.0,
reddica01,309.0,Cam Reddish,24.0,LAL,SF,48.0,26.0,984.0,91.0,234.0,0.389,37.0,110.0,0.336,54.0,124.0,0.435,0.468,41.0,54.0,0.759,27.0,72.0,99.0,48.0,47.0,14.0,31.0,64.0,260.0,0.0,
hylanbo01,310.0,Bones Hyland,23.0,LAC,PG,37.0,5.0,540.0,97.0,251.0,0.386,44.0,135.0,0.326,53.0,116.0,0.457,0.474,18.0,23.0,0.783,5.0,50.0,55.0,93.0,26.0,4.0,44.0,51.0,256.0,0.0,
bambamo01,311.0,Mo Bamba,25.0,PHI,C,57.0,17.0,740.0,97.0,198.0,0.49,25.0,64.0,0.391,72.0,134.0,0.537,0.553,34.0,50.0,0.68,77.0,161.0,238.0,41.0,22.0,60.0,39.0,101.0,253.0,0.0,
houstca01,312.0,Caleb Houstan,21.0,ORL,SF,59.0,13.0,815.0,80.0,206.0,0.388,72.0,193.0,0.373,8.0,13.0,0.615,0.563,21.0,26.0,0.808,28.0,56.0,84.0,29.0,15.0,4.0,16.0,61.0,253.0,0.0,
greenaj01,313.0,A.J. Green,24.0,MIL,SG,56.0,0.0,614.0,83.0,196.0,0.423,69.0,169.0,0.408,14.0,27.0,0.519,0.599,17.0,19.0,0.895,9.0,55.0,64.0,30.0,9.0,4.0,12.0,49.0,252.0,0.0,
sheppbe01,314.0,Ben Sheppard,22.0,IND,SG,57.0,1.0,814.0,90.0,229.0,0.393,49.0,156.0,0.314,41.0,73.0,0.562,0.5,23.0,26.0,0.885,15.0,74.0,89.0,53.0,33.0,2.0,15.0,88.0,252.0,0.0,
butleja02,315.0,Jared Butler,23.0,WAS,SG,40.0,0.0,566.0,98.0,201.0,0.488,24.0,78.0,0.308,74.0,123.0,0.602,0.547,31.0,36.0,0.861,9.0,49.0,58.0,126.0,29.0,8.0,50.0,58.0,251.0,0.0,
browntr01,316.0,Troy Brown Jr.,24.0,2TM,SF,59.0,15.0,827.0,84.0,226.0,0.372,47.0,141.0,0.333,37.0,85.0,0.435,0.476,32.0,37.0,0.865,25.0,119.0,144.0,60.0,24.0,3.0,30.0,42.0,247.0,0.0,
browntr01,316.0,Troy Brown Jr.,24.0,MIN,SF,37.0,3.0,410.0,52.0,118.0,0.441,31.0,84.0,0.369,21.0,34.0,0.618,0.572,19.0,22.0,0.864,14.0,58.0,72.0,35.0,8.0,2.0,18.0,26.0,154.0,0.0,
browntr01,316.0,Troy Brown Jr.,24.0,DET,SF,22.0,12.0,417.0,32.0,108.0,0.296,16.0,57.0,0.281,16.0,51.0,0.314,0.37,13.0,15.0,0.867,11.0,61.0,72.0,25.0,16.0,1.0,12.0,16.0,93.0,0.0,
plumlma01,317.0,Mason Plumlee,33.0,LAC,C,46.0,11.0,674.0,87.0,153.0,0.569,0.0,6.0,0.0,87.0,147.0,0.592,0.569,70.0,99.0,0.707,60.0,174.0,234.0,55.0,14.0,17.0,36.0,68.0,244.0,0.0,
willima07,318.0,Mark Williams,22.0,CHO,C,19.0,19.0,508.0,98.0,151.0,0.649,0.0,0.0,,98.0,151.0,0.649,0.649,46.0,64.0,0.719,76.0,108.0,184.0,22.0,16.0,20.0,17.0,50.0,242.0,0.0,
sensabr01,319.0,Brice Sensabaugh,20.0,UTA,SF,32.0,11.0,584.0,85.0,218.0,0.39,34.0,115.0,0.296,51.0,103.0,0.495,0.468,37.0,41.0,0.902,16.0,86.0,102.0,55.0,13.0,6.0,47.0,43.0,241.0,0.0,
paytoga02,320.0,Gary Payton II,31.0,GSW,SG,44.0,0.0,680.0,103.0,183.0,0.563,20.0,55.0,0.364,83.0,128.0,0.648,0.617,14.0,23.0,0.609,46.0,67.0,113.0,48.0,39.0,18.0,27.0,77.0,240.0,0.0,
konchjo01,321.0,John Konchar,27.0,MEM,SF,55.0,23.0,1173.0,88.0,208.0,0.423,38.0,120.0,0.317,50.0,88.0,0.568,0.514,21.0,25.0,0.84,72.0,185.0,257.0,110.0,51.0,51.0,46.0,76.0,235.0,0.0,
holidju01,322.0,Justin Holiday,34.0,DEN,SG,58.0,9.0,862.0,88.0,194.0,0.454,55.0,136.0,0.404,33.0,58.0,0.569,0.595,3.0,4.0,0.75,9.0,62.0,71.0,67.0,36.0,9.0,14.0,69.0,234.0,0.0,
